id,nome_do_produto,nome_da_empresa,data_de_fabricacao,data_de_validade,numero_de_serie,instrucoes_de_armazenamento
232,"ACETAMINOPHEN, PHENYLEPHRINE, CHLORPHENIRAMINE",NorMed,2020-08-09,2023-01-21,LT64 4161 9745 4848 9880,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
233,influenza virus vaccine,ID Biomedical Corporation of Quebec,2020-02-06,2023-05-30,DO91 MHN5 1292 0308 4197 6639 3897,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce
234,"Chelidonium majus, Echinacea (Angustifolia), Hydrastis canadensis, Nasturtium aquaticum, Taraxacum officinale, Trifolium pratense, Rhus toxicodendron, Arnica montana,","Synergy Formulas, Inc.",2019-10-20,2024-05-15,AT07 9937 1270 7665 5352,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra
235,METFORMIN HYDROCHLORIDE,Cadila Healthcare Limited,2019-10-07,2023-04-04,FR59 3452 0209 89VG O6PU MSZQ 122,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non
236,ethyl alcohol,"Medline Industries, Inc.",2020-03-02,2023-05-24,FR18 7418 2695 81AQ 1YWX QBFU D68,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue
237,Cyclobenzaprine Hydrochloride,"Golden State Medical Supply, Inc.",2019-09-21,2023-01-18,AZ79 UGLO LVVV BDRE SUSE VTMH BRMT,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis
238,Olanzapine,Macleods Pharmaceuticals Limited,2020-03-09,2023-10-01,SI57 5876 1260 7571 017,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur
239,"AVOBENZONE, OCTOCRYLENE, OXYBENZONE",Energizer Personal Care LLC,2020-01-29,2023-06-21,CY28 0289 8956 1UCN TYDE 96Q1 JP0Y,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi
240,"Eucalyptol, menthol, methyl salicylate, thymol","Safeway, Inc",2019-12-27,2023-12-28,BR94 2426 2901 9401 4693 3748 063D V,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat
241,Oxygen,Clay Home Medical,2019-09-25,2023-06-19,FO63 1797 5690 7260 94,convallis morbi odio odio elementum eu interdum eu tincidunt in
242,Acetaminophen,Advance Pharmaceutical Inc.,2019-08-30,2023-05-02,FR60 5446 2427 74RP 6V1N R2ZI C59,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis
243,Tizanidine Hydrochloride,"AvKARE, Inc.",2020-08-18,2022-12-16,IS27 2882 6809 1341 7073 4854 51,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer
244,GARLIC,Natural Health Supply,2020-06-01,2024-01-26,GE42 ZA29 8055 5434 2085 45,primis in faucibus orci luctus et ultrices posuere cubilia curae duis
245,Viscum Belladonna,Uriel Pharmacy Inc.,2020-05-31,2024-04-30,PL62 8950 4187 5291 5233 1577 6303,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est
246,DOCUSATE SODIUM,P and L Development of New York Corporation (ReadyInCase),2020-07-18,2022-11-20,PT07 7881 5562 5997 4254 6522 6,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan
247,citalopram hydrobromide,Cardinal Health,2020-06-15,2024-08-14,AE80 2412 7336 0440 7268 209,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at
248,OCTINOXATE and TITANIUM DIOXIDE,CHANEL PARFUMS BEAUTE,2020-03-01,2023-09-16,PK53 HHRL 1CS2 FCR7 JETH B0RP,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat
249,Titanium Dioxide,PURMINERALS,2020-02-21,2023-11-20,CZ33 3326 7362 0927 3251 3692,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante
250,benzoyl peroxide,The Mentholatum Company,2019-11-22,2023-09-06,SM13 M991 2893 430M ZWXK DZQX CWV,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent
251,Methylphenidate Hydrochloride,"Mallinckrodt, Inc.",2020-05-02,2023-01-27,MD68 DDBN CFLR JOHD A8CP PIDZ,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus
252,"OCTINOXATE, OCTISALATE, ZINC OXIDE, TITANIUM DIOXIDE",Nidaria Technology Ltd.,2020-01-21,2023-10-09,DE66 0242 8946 3203 7021 38,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum
253,METFORMIN HYDROCHLORIDE,REMEDYREPACK INC.,2019-11-14,2024-06-28,FR74 5601 3392 48WU DAJG 0RHM Z55,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu
254,Aluminum Zirconium Tetrachlorohydrex GLY,Conopco Inc. d/b/a Unilever,2019-09-14,2023-06-16,IS68 4309 9254 4779 6640 3663 31,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit
255,Acetazolamide,"Lannett Company, Inc.",2019-10-07,2024-08-21,HU26 4804 4764 4834 8637 1791 1997,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio
256,TRICLOCARBAN,"Bradford Soap Works, Inc.",2020-01-27,2023-07-31,MD23 JSYZ EPKF EMVI CTS7 DTG3,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst
257,Gabapentin,"H.J. Harkins Company, Inc.",2019-10-22,2023-12-13,NO35 3675 3986 558,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar
258,tramadol hydrochloride,Bryant Ranch Prepack,2019-11-30,2023-11-22,EE09 2994 0388 4567 0805,nulla tellus in sagittis dui vel nisl duis ac nibh fusce
259,Alcohol,STERIS Corporation,2020-06-22,2023-05-12,GR78 1950 618O H2GW NFGR M696 DWY,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien
260,Arnica Betula A,Uriel Pharmacy Inc.,2019-10-09,2023-06-12,KW69 HMLA BKUJ 2PEV XVD0 VAGO 0VBN UQ,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor
261,Furosemide,"Roxane Laboratories, Inc",2020-02-14,2024-01-03,AD14 0204 8020 VUML EZDS L8ON,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent
262,Poplar White,"ALK-Abello, Inc.",2019-09-27,2022-11-03,MT69 RCIU 6404 9NIM JDMG MCJW RCKC ZOY,cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes
263,cefotaxime sodium,Sanofi-Aventis U.S. LLC,2019-11-09,2022-09-20,HU51 7887 5887 3111 1646 1799 0214,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras
264,"Gelsemium Sempervirens, Rhus Toxicodendron",Paramesh Banerji Life Sciences LLC,2020-07-27,2023-11-03,TR53 2431 47GE ME0H IIKP 1CKF N5,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer
265,TITANIUM DIOXIDE,CHANEL PARFUMS BEAUTE,2020-01-14,2023-03-31,KZ40 820D OYF7 OFXK LHAS,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst
266,Neomycin Sulfate,"NeoPharm Co., Ltd.",2019-11-23,2022-10-16,FO07 6319 2859 9324 22,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim
267,Glimepiride,Clinical Solutions Wholesale,2020-01-13,2023-04-29,ME11 1520 5193 9349 9336 76,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum
268,cephalexin,Sun Pharmaceutical Industries Limited,2019-09-09,2023-02-16,FR78 9186 4243 94YW NBOS PA5A L37,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl
269,Tamsulosin Hydrochloride,Citron Pharma LLC,2019-09-15,2024-05-25,CH08 6527 7LT6 UBYN D5QP Q,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum
270,Pyrithione Zinc,Procter & Gamble Manufacturing Co.,2020-06-21,2023-05-25,AT02 2988 3270 4240 0266,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non
271,"Apis Mellifera, Baptisia Tinctoria, Silybum Marianum Seed, Herring Sperm DNA, Echinacea, Galium Aparine, Mercuric Chloride, Mercuric Sulfide, Nitric Acid, Sulfur Iodide, and Thuja Occidentalis Leafy Twig",Sunway Biotech LLC,2020-05-22,2022-11-10,MR24 2147 8223 0032 4877 3144 748,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien
272,Aspirin,WALGREEN CO.,2019-10-23,2023-04-24,FR93 4274 0925 68A1 CU2E IJ3Y D53,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in
273,Oxymorphone Hydrochloride,Endo Pharmaceuticals,2020-05-08,2024-08-01,LU69 6875 SK5U L49K 9DCJ,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam
274,allopurinol,"Aphena Pharma Solutions - Tennessee, Inc.",2020-03-01,2024-06-06,BA76 4315 0060 7080 9497,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce
275,Guaifenesin,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,2020-07-26,2022-10-18,AT84 7789 6738 5176 5042,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit
276,Salicylic Acid,Reckitt Benckiser LLC,2020-04-22,2023-11-13,FR84 5274 3192 06RO GREF CRKJ 054,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque
277,Magnesium citrate,McKesson,2020-06-29,2023-08-28,BH60 OYJK RJPK LAO9 J8WQ H8,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices
278,Levothyroxine Sodium,"Dispensing Solutions, Inc.",2020-04-25,2024-03-01,FR62 6052 8372 54GV FY7Q TLGY F15,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum
279,Fluoride,TOPCO Assoc. LLC,2020-01-17,2024-07-15,SM13 A792 9916 123D 4NM2 K3JN 6UD,tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis
280,Aspirin,BJWC (Berkley & Jensen / BJ's),2019-10-08,2024-04-09,AE98 3243 3588 5405 2193 095,sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut
281,Metronidazole,Aidarex Pharmaceuticals LLC,2020-03-29,2024-05-13,LI30 3704 5WKB O8G7 FAWD 7,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum
282,Ondansetron,Pfizer Laboratories Div Pfizer Inc,2019-11-23,2023-12-19,SK60 9309 6913 7115 8227 5621,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat
283,Grapefruit,"Antigen Laboratories, Inc.",2019-09-13,2022-09-08,BA73 5621 6792 8212 4624,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra
284,Cetirizine Hydrochloride,Cardinal Health,2020-05-09,2024-07-02,SM82 I573 7473 145B MHS9 Z3IG RYO,vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis
285,ARIPIPRAZOLE,TYA Pharmaceuticals,2020-02-02,2022-10-25,FR65 0330 5133 13HM NOPU CVXQ 579,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat
286,Carbon Dioxide-Oxygen Mixture,"Roberts Oxygen Company, Inc.",2020-05-23,2023-07-21,AD92 8255 1809 9PDN IZEB WXRE,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante
287,Oxymetazoline HCl,"Kareway Product, Inc.",2020-06-15,2022-12-15,GL74 6259 1419 5713 59,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci
288,SALICYLIC ACID,"Acella Pharmaceuticals, LLC",2019-11-11,2024-05-17,AD54 9038 1709 WHNL S7EO L968,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus
289,Ibuprofen,American Health Packaging,2020-08-12,2023-05-15,TN66 5727 0465 6010 9813 9245,mi in porttitor pede justo eu massa donec dapibus duis at
290,DIMETHICONE,"NATURE REPUBLIC CO., LTD.",2019-09-11,2023-11-24,PT46 0897 5722 2643 1631 0269 6,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et
291,Amoxicillin,Cardinal Health,2020-08-01,2023-10-02,HU77 0513 2114 9008 7308 8115 6375,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum
292,Trazodone Hydrochloride,KAISER FOUNDATION HOSPITALS,2019-09-09,2023-08-20,PS21 IELO C4TK CZKR WJTO 3ZYZ KQCB G,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit
293,DIMETHICONE and ZINC OXIDE,"BioZone Laboratories, Inc.",2020-05-27,2024-05-10,AD93 6764 3742 P6TX AMUP CRER,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede
294,Gabapentin,REMEDYREPACK INC.,2019-12-13,2024-05-27,IT91 B091 7625 519S CUYO YIM9 RVZ,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean
295,tizanidine hydrochloride,Rebel Distributors Corp,2019-12-13,2022-11-20,SI19 9098 2951 5775 747,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend
296,"DL-Camphor,L-Menthol,Methyl Salicylate",United Exchange Corporation,2020-06-07,2024-05-29,FR88 2265 0458 33CS KMZ5 7I9K M65,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida
297,Acyclovir,"Innocutis Holdings, LLC",2019-09-05,2022-09-26,GB60 QFPI 0225 6129 5828 14,eu mi nulla ac enim in tempor turpis nec euismod scelerisque
298,"Absinthium, Anacardium occidentale, Arg. nit., Arsenicum alb., Belladonna, Bryonia,Calc. carb., Camphora, Chamomilla, Cimicifuga,Cinchona, Coffea cruda, Cypripedium, Gelsemium,Humulus, Hyoscyamus, Ignatia, Kali brom., Nuxvom., Passiflora, Pulsatilla, Scutellaria lateriflora,Sepia, Thuja occ., Passiflora, aleriana, Passiflora,Valeriana","Newton Laboratories, Inc.",2019-11-05,2024-08-17,IT82 L168 1184 293L 8TNY A7UC 5JU,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et
299,"OCTINOXATE, OXYBENZONE",Select Brand Distributors,2019-12-24,2022-09-05,AT50 7310 6899 5352 8771,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue
300,Hydrogen Peroxide,"Chester Packaging, LLC",2020-04-09,2023-01-29,SI47 2750 8265 1966 506,magna at nunc commodo placerat praesent blandit nam nulla integer
301,Gentamicin Sulfate,Clinical Solutions Wholesale,2019-10-30,2024-06-30,LU37 691U QQVC XPQF SIQ2,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum
302,cefuroxime axetil,"Preferred Pharmaceuticals, Inc.",2019-09-17,2024-08-09,RS65 8431 2547 6293 7346 32,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et
303,Guaifenesin,"L.N.K. International, Inc.",2020-08-09,2024-01-15,TN39 2173 9222 8769 9655 5605,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas
304,Acetaminophen,Sam's West Inc,2020-02-27,2024-07-16,GI60 DPWD SYRV 3QSC GFCA 6QY,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium
305,"Aletris 30c, Belladonna 30c, Bovista 30c, Cinchona 30c, Colocynthis 30c, Chamomilla 30c, Cinnamomum 30c, Coffea Cruda 30c, Secale 30c, Veratrum Album 30c",Home Sweet Homeopathics,2019-10-06,2023-01-12,FR30 5595 7791 03EC YCV5 ZWCF S59,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat
306,Benzalkonium Chloride,Omega Tech Labs Inc.,2020-01-09,2022-09-16,TR80 8093 5ESA LLCM WTWN I763 1N,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat
307,Olive Pollen,"Nelco Laboratories, Inc.",2019-08-23,2024-03-02,GI30 ZRGA NRMD GRQL ZBEX QVM,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue
308,"Allium cepa, Belladonna, Euphrasia officinale, Hydrastis canadensis, Kali bechromate, Sambucus niger, Mercurius dulcis",Indiana Botanic Gardens,2020-07-14,2024-07-16,FR31 2584 0730 04CW 4VVT H8LL 529,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum
309,SALICYLIC ACID,S+,2020-07-07,2023-09-05,LV30 LTZD ZRDR XTO5 BFRY C,felis donec semper sapien a libero nam dui proin leo odio porttitor id
310,Oxcarbazepine,REMEDYREPACK INC.,2020-07-13,2024-07-31,KZ87 165E LZVX ZZ6Q DZHV,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis
311,dextromethorphan polistirex,Rite Aid Corporation,2020-08-21,2024-01-12,LB34 4259 BP5S PXZD N8OM NQKK 1K66,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus
312,"Melatonin,",Apotheca Company,2019-12-18,2023-12-10,MR92 4260 7212 8607 2049 0034 523,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod
313,Acetaminophen,CVS Pharmacy,2020-02-13,2022-09-17,CZ94 4985 3931 4686 6703 4623,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor
314,sodium fluoride,"Chattem, Inc.",2020-03-31,2023-01-30,LB15 9696 HBQR NHNO SDTZ LESP XA8C,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante
315,Black Locust,"Nelco Laboratories, Inc.",2019-12-11,2022-12-07,DE26 4650 6332 6172 4820 43,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis
316,LEVOTHYROXINE SODIUM,"Physicians Total Care, Inc.",2020-02-13,2023-09-06,BG85 NDZG 5609 04FA 24MI JE,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at
317,Fluoxetine hydrochloride,Dista Products Company,2020-04-02,2023-11-16,AD11 5780 4520 Y98K QKPY JKTH,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id
318,ropinirole,"Glenmark Generics Inc., USA",2020-02-11,2024-03-19,FR45 9698 8408 75IZ SVRK IBDZ L08,consequat lectus in est risus auctor sed tristique in tempus sit
319,"Echinacea (Angustifolia), Echinacea purpurea, Bellis perennis, Calendula officinalis, Hamamelis virginiana, Aconitrum napellus, Chamomilla, Hypericum perforatum, Belladonna,","Deseret Biologicals, Inc.",2020-02-05,2023-03-25,LV04 LWGZ 0UBC JYCH PTKZ D,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus
320,Corn Smut,"Nelco Laboratories, Inc.",2020-03-19,2024-05-03,FR15 6040 6600 11I6 LVXK XK6H N90,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet
321,Nystatin,Rebel Distributors Corp,2020-02-08,2023-02-08,PS30 UYGC Q6QF FXRK ST3Y MH83 YCFA K,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis
322,Hydrocortisone,The Kroger Company,2019-10-17,2022-09-20,HR68 4451 1870 9172 8616 3,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc
323,MERCURIUS SOLUBILIS,Hyland's,2020-01-05,2024-07-16,FR91 8943 5384 54SU KNZX COHE M35,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo
324,Diltiazem Hydrochloride,AbbVie Inc.,2019-12-05,2024-07-08,EE24 1786 7690 9134 6296,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit
325,Nabumetone,American Health Packaging,2019-12-15,2022-10-02,ES38 6308 3222 0695 8296 9247,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed
326,PSEUDOGNAPHALIUM OBTUSIFOLIUM and CAUSTICUM and COLCHICUM AUTUMNALE BULB and CITRULLUS COLOCYNTHIS FRUIT PULP and IRON and LITHIUM BENZOATE and TOXICODENDRON PUBESCENS LEAF and FILIPENDULA ULMARIA ROO,Heel Inc,2020-01-20,2024-01-02,GR38 2236 766O LEFO VDYE FLPJ JRH,in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus
327,Amoxicillin and Clavulanate Potassium,"Physicians Total Care, Inc.",2020-03-02,2024-03-04,KW55 NKHY RMS8 VNAX 0MRE FZM0 MGDW ST,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis
328,ciprofloxacin,"Pack Pharmaceuticals, LLC",2020-07-05,2023-09-02,FR44 2802 4065 21G1 DJXR 8XDK V37,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in
329,Dimethicone,"TONYMOLY CO., LTD.",2019-10-20,2023-11-21,GT18 GW6A BKI8 N68J PNVH V9B6 0S29,odio porttitor id consequat in consequat ut nulla sed accumsan felis
330,buprenorphine and naloxone,"BioDelivery Sciences International, Inc.",2019-10-21,2022-08-23,PS31 CUEE LBDL AXRS G80Y LJND PMRE 2,maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo
331,Temozolomide,Sun Pharma Global FZE,2020-01-23,2023-09-18,DE76 0858 6380 0186 6235 27,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec
332,Citalopram,ReadyMeds,2020-03-03,2024-05-29,NO94 0059 3653 092,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non
333,clonidine hydrochloride,Clinical Solutions Wholesale,2020-04-07,2023-03-08,AL69 7921 3680 QFMI ZDSX A8TF OOGM,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti
334,INTERLEUKIN-9,Guna spa,2019-10-03,2023-09-18,FR77 6815 4526 77EZ IGNG 1IUI O17,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante
335,Titanium Dioxide,"Elizabeth Arden, Inc",2020-07-29,2023-04-07,LU88 510N 5IXV 7BF6 2XXQ,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem
336,Toxoplasma Gondii,"BioActive Nutritional, Inc.",2020-02-13,2023-02-16,CZ40 7315 8485 5073 7905 1095,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet
337,"Arnica montana, Brain suis, Carduus marianus, Cinchona officinalis, Gingko biloba, Lecithin, Millefolium, Phosphoricum acidum,",Liddell Laboratories,2020-08-22,2024-06-05,MK32 216B JVYW XYJV G37,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt
338,Esterified Estrogens and Methyltestosterone,Seton Pharmaceuticals,2019-11-16,2024-06-05,CZ56 2125 1930 9581 5063 7157,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa
339,Losartan Potassium,Rebel Distributors Corp,2019-12-20,2023-06-03,FR62 3863 2492 09L0 7YNM ZIYE C06,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec
340,"TITANIUM DIOXIDE, OCTINOXATE, OXYBENZONE",Parfums Christian Dior,2020-02-23,2024-07-23,FR81 2428 6830 03WK VBJA XPWC Q64,in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed
341,"Carbidopa, levodopa and entacapone",Sun Pharma Global FZE,2020-06-15,2023-12-30,FR50 8361 5561 94AL G6DG TEVV D32,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id
342,White Mulberry,"ALK-Abello, Inc.",2020-08-12,2023-11-17,LU88 1313 HZGU BNGD L0BT,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum
343,Gabapentin,"PD-Rx Pharmaceuticals, Inc.",2020-05-22,2022-11-15,BR73 6623 5545 7951 3749 7602 741O S,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse
344,"Methyl Salicylate, Menthol, Camphor (Synthetic)",HYSAN PHARMACEUTICAL CO LTD,2019-09-14,2023-01-29,CR08 4864 8449 4344 6163 8,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla
345,"Acetaminophen, dextromethorphan HBr, doxylamine succinate, phenylephrine HCl",Supervalu Inc,2020-06-07,2022-11-04,SK90 2167 3324 3468 3569 5140,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis
346,erythromycin,E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.,2020-07-30,2024-02-08,GE03 MU01 2265 4262 6625 78,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin
347,Ibuprofen,Safeway,2019-12-20,2023-06-25,IL65 4295 6440 7288 8883 328,semper est quam pharetra magna ac consequat metus sapien ut nunc
348,Titanium Dioxide and Zinc Oxide,"Bare Escentuals Beauty, Inc.",2020-08-01,2023-11-03,PS03 RWJC NDY6 RQUQ BVUQ 8CCI H7BH 3,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque
349,oxymetazoline hydrochloride,Save-A-Lot Food Stores Ltd,2020-06-08,2022-09-26,TN67 3322 2820 0151 0932 6111,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam
350,DOCUSATE SODIUM,BJWC (Berkley & Jensen / BJ's),2019-10-23,2023-06-21,BG74 RDNW 2646 86WH BLUS VB,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis
351,"Dextromethorphan Hydrobromide, Guaifenesin",Walgreen Company,2020-04-04,2022-09-25,FR51 3080 7877 68ET 9PI9 G1GE 850,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat
352,Felodipine,Mylan Institutional Inc.,2019-09-23,2024-05-16,LI07 8929 0NEW 4PWF 6HFE A,potenti in eleifend quam a odio in hac habitasse platea
353,cyclosporine,Novartis Pharmaceuticals Corporation,2019-12-21,2023-02-09,MC27 2686 8971 93MR XVVY CZTH D22,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non
354,Tobramycin,REMEDYREPACK INC.,2020-05-26,2023-10-15,HR11 8088 7093 6806 2686 4,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis
